Case,Result,Reason,Remark
testReduceCastTimeUnchanged,ERROR,TIME,
testIntersectToDistinct,ERROR,INTERSECT,
testEmptyProject2,ERROR,VALUES,
testEmptyFilterProjectUnion,ERROR,VALUES,
testSortProjectTranspose1,ERROR,ORDERBY,
testSortProjectTranspose2,ERROR,ORDERBY,
testSortProjectTranspose3,ERROR,ORDERBY,
testPullNull,ERROR,NULL,
testReduceCastAndConsts,ERROR,CAST,
testPushSemiJoinPastJoinRuleRight,ERROR,ERROR,
testPushCountNullableThroughUnion,ERROR,GROUPBY,
testEmptyAggregateEmptyKeyWithAggregateValuesRule,ERROR,VALUES,
testPullConstantThroughAggregateAllConst,ERROR,GROUPBY,
testReduceValuesUnderProjectFilter,ERROR,VALUES,
testMergeMinus,ERROR,EXCEPT,
testDecorrelateTwoExists,ERROR,NULL,
testEmptyMinus,ERROR,VALUES,
testReduceValuesUnderProject,ERROR,VALUES,
testAggregateConstantKeyRule,UNKNOWN,,Later
testExpandFilterExistsSimpleAnd,ERROR,GROUPBY,
testReduceValuesUnderFilter,ERROR,VALUES,
testReduceConstantsDup,ERROR,EMPTYTABLE,
testAggregateProjectMerge,UNKNOWN,,
testRemoveSemiJoin,EQ,,
testPullConstantThroughUnion,MP,,interesting
testWhereNotInCorrelated2,ERROR,OUTERJOIN,
testReduceNot,ERROR,,
testDistinctWithGrouping,ERROR,ERROR,
testWhereNotInCorrelated,ERROR,OUTERJOIN,
testMinusMergeRule,ERROR,EXCEPT,
testWhereInCorrelated,ERROR,IN,
testReduceConstantsNullEqualsOne,ERROR,NULL,
testDistinctCountMultiple,ERROR,GROUPBY,
testSemiJoinRuleExists,ERROR,ERROR,
testWhereExpressionInCorrelated,ERROR,IN,
testExpandFilterInComposite,ERROR,OUTERJOIN,
testPullFilterThroughAggregateGroupingSets,ERROR,CALCITEBUG,
testReduceConstantsRequiresExecutor,ERROR,NULL,
testTransitiveInferenceJoin3wayAgg,UNKNOWN,,Later
testReduceConstantsProjectNullable,ERROR,CAST,
testWhereOrSubQuery,ERROR,IN,
