[[config]] symbreak:#f, simplify-constr:#t, qex-encoding:#t
[inference time] 3
[constraint]
dept,
ForallEQ[(r[1] = @0) ∧ (r[0] = 10)]

[query size] 3 2
[query aggr] #f #f
--------------------
[table size] (1) [real time] 11 ms
[table size] (2) [real time] 19 ms
[table size] (3) [real time] 12 ms
[table size] (4) [real time] 14 ms
[table size] (5) [real time] 47 ms
[table size] (6) [real time] 19 ms
[table size] (7) [real time] 21 ms
[table size] (8) [real time] 24 ms
[table size] (9) [real time] 27 ms
[table size] (10) [real time] 29 ms
[table size] (11) [real time] 33 ms
[table size] (12) [real time] 107 ms
[table size] (13) [real time] 38 ms
[table size] (14) [real time] 44 ms
[table size] (15) [real time] 56 ms
[table size] (16) [real time] 54 ms
[table size] (17) [real time] 56 ms
[table size] (18) [real time] 67 ms
[table size] (19) [real time] 72 ms
[table size] (20) [real time] 85 ms
[table size] (21) [real time] 95 ms
[table size] (22) [real time] 95 ms
[table size] (23) [real time] 102 ms
[table size] (24) [real time] 108 ms
[table size] (25) [real time] 125 ms
[table size] (26) [real time] 142 ms
[table size] (27) [real time] 133 ms
[table size] (28) [real time] 152 ms
[table size] (29) [real time] 152 ms
[table size] (30) [real time] 167 ms
[table size] (31) [real time] 175 ms
[table size] (32) [real time] 194 ms
[table size] (33) [real time] 245 ms
[table size] (34) [real time] 210 ms
[table size] (35) [real time] 216 ms
[table size] (36) [real time] 235 ms
[table size] (37) [real time] 254 ms
[table size] (38) [real time] 269 ms
[table size] (39) [real time] 286 ms
[table size] (40) [real time] 303 ms
[table size] (41) [real time] 312 ms
[table size] (42) [real time] 412 ms
[table size] (43) [real time] 513 ms
[table size] (44) [real time] 349 ms
[table size] (45) [real time] 371 ms
[table size] (46) [real time] 387 ms
[table size] (47) [real time] 399 ms
[table size] (48) [real time] 415 ms
[table size] (49) [real time] 439 ms
[table size] (50) [real time] 461 ms
[table size] (51) [real time] 482 ms
[table size] (52) [real time] 505 ms
[table size] (53) [real time] 532 ms
[table size] (54) [real time] 704 ms
[table size] (55) [real time] 559 ms
[table size] (56) [real time] 580 ms
[table size] (57) [real time] 604 ms
[table size] (58) [real time] 610 ms
[table size] (59) [real time] 630 ms
[table size] (60) [real time] 672 ms
[table size] (61) [real time] 1076 ms
[table size] (62) [real time] 728 ms
[table size] (63) [real time] 757 ms
[table size] (64) [real time] 785 ms
[table size] (65) [real time] 807 ms
[table size] (66) [real time] 839 ms
[table size] (67) [real time] 888 ms
[table size] (68) [real time] 1284 ms
[table size] (69) [real time] 945 ms
[table size] (70) [real time] 942 ms
[table size] (71) [real time] 962 ms
[table size] (72) [real time] 1023 ms
[table size] (73) [real time] 1054 ms
[table size] (74) [real time] 1079 ms
[table size] (75) [real time] 1124 ms
[table size] (76) [real time] 1801 ms
[table size] (77) [real time] 1170 ms
[table size] (78) [real time] 1210 ms
[table size] (79) [real time] 1242 ms
[table size] (80) [real time] 1267 ms
[table size] (81) [real time] 1334 ms
[table size] (82) [real time] 1335 ms
[table size] (83) [real time] 1391 ms
[table size] (84) [real time] 1455 ms
[table size] (85) [real time] 1493 ms
[table size] (86) [real time] 1518 ms
[table size] (87) [real time] 2313 ms
[table size] (88) [real time] 1620 ms
[table size] (89) [real time] 1681 ms
[table size] (90) [real time] 1706 ms
[table size] (91) [real time] 1799 ms
[table size] (92) [real time] 2998 ms
[table size] (93) [real time] 1846 ms
[table size] (94) [real time] 1872 ms
[table size] (95) [real time] 1969 ms
[table size] (96) [real time] 1999 ms
[table size] (97) [real time] 2002 ms
[table size] (98) [real time] 2090 ms
[table size] (99) [real time] 2132 ms
[table size] (100) [real time] 2194 ms
[table size] (101) [real time] 2218 ms
[table size] (102) [real time] 2249 ms
[table size] (103) [real time] 2250 ms
[table size] (104) [real time] 2367 ms
[table size] (105) [real time] 2448 ms
[table size] (106) [real time] 2454 ms
[table size] (107) [real time] 2570 ms
[table size] (108) [real time] 2565 ms
[table size] (109) [real time] 2625 ms
[table size] (110) [real time] 6327 ms
[table size] (111) [real time] 2820 ms
[table size] (112) [real time] 2863 ms
[table size] (113) [real time] 2924 ms
[table size] (114) [real time] 3070 ms
[table size] (115) [real time] 3049 ms
[table size] (116) [real time] 3087 ms
[table size] (117) [real time] 3218 ms
[table size] (118) [real time] 3283 ms
[table size] (119) [real time] 3455 ms
[table size] (120) [real time] 3414 ms
[table size] (121) [real time] 3585 ms
[table size] (122) [real time] 3511 ms
[table size] (123) [real time] 3690 ms
[table size] (124) [real time] 3723 ms
[table size] (125) [real time] 3797 ms
[table size] (126) [real time] 3879 ms
[table size] (127) [real time] 3948 ms
[table size] (128) [real time] 4114 ms
[table size] (129) [real time] 4171 ms
[table size] (130) [real time] 4122 ms
[table size] (131) [real time] 4278 ms
[table size] (132) [real time] 4336 ms
[table size] (133) [real time] 4285 ms
[table size] (134) [real time] 4435 ms
[table size] (135) [real time] 4493 ms
[table size] (136) [real time] 8338 ms
[table size] (137) [real time] 4714 ms
[table size] (138) [real time] 4807 ms
[table size] (139) [real time] 8492 ms
[table size] (140) [real time] 5202 ms
[table size] (141) [real time] 5435 ms
[table size] (142) [real time] 5712 ms
[table size] (143) [real time] 5801 ms
[table size] (144) [real time] 5857 ms
[table size] (145) [real time] 5734 ms
[table size] (146) [real time] 5896 ms
[table size] (147) [real time] 6118 ms
[table size] (148) [real time] 6172 ms
[table size] (149) [real time] 6303 ms
[table size] (150) [real time] 6392 ms
[table size] (151) [real time] 6266 ms
[table size] (152) [real time] 6755 ms
