[[config]] symbreak:#f, simplify-constr:#t, qex-encoding:#f
[inference time] 4
[constraint]
dept,
ForallEQ[(r[1] = @0) ∧ (r[0] = 10)]

[query size] 3 2
[query aggr] #f #f
--------------------
[table size] (1) [real time] 23 ms
[table size] (2) [real time] 21 ms
[table size] (3) [real time] 15 ms
[table size] (4) [real time] 15 ms
[table size] (5) [real time] 49 ms
[table size] (6) [real time] 17 ms
[table size] (7) [real time] 24 ms
[table size] (8) [real time] 22 ms
[table size] (9) [real time] 26 ms
[table size] (10) [real time] 32 ms
[table size] (11) [real time] 38 ms
[table size] (12) [real time] 108 ms
[table size] (13) [real time] 44 ms
[table size] (14) [real time] 47 ms
[table size] (15) [real time] 59 ms
[table size] (16) [real time] 68 ms
[table size] (17) [real time] 69 ms
[table size] (18) [real time] 72 ms
[table size] (19) [real time] 82 ms
[table size] (20) [real time] 95 ms
[table size] (21) [real time] 96 ms
[table size] (22) [real time] 106 ms
[table size] (23) [real time] 120 ms
[table size] (24) [real time] 119 ms
[table size] (25) [real time] 142 ms
[table size] (26) [real time] 156 ms
[table size] (27) [real time] 148 ms
[table size] (28) [real time] 172 ms
[table size] (29) [real time] 178 ms
[table size] (30) [real time] 182 ms
[table size] (31) [real time] 211 ms
[table size] (32) [real time] 213 ms
[table size] (33) [real time] 274 ms
[table size] (34) [real time] 232 ms
[table size] (35) [real time] 253 ms
[table size] (36) [real time] 266 ms
[table size] (37) [real time] 286 ms
[table size] (38) [real time] 301 ms
[table size] (39) [real time] 314 ms
[table size] (40) [real time] 344 ms
[table size] (41) [real time] 363 ms
[table size] (42) [real time] 641 ms
[table size] (43) [real time] 382 ms
[table size] (44) [real time] 398 ms
[table size] (45) [real time] 411 ms
[table size] (46) [real time] 445 ms
[table size] (47) [real time] 458 ms
[table size] (48) [real time] 478 ms
[table size] (49) [real time] 498 ms
[table size] (50) [real time] 527 ms
[table size] (51) [real time] 551 ms
[table size] (52) [real time] 569 ms
[table size] (53) [real time] 606 ms
[table size] (54) [real time] 793 ms
[table size] (55) [real time] 627 ms
[table size] (56) [real time] 655 ms
[table size] (57) [real time] 672 ms
[table size] (58) [real time] 721 ms
[table size] (59) [real time] 1111 ms
[table size] (60) [real time] 769 ms
[table size] (61) [real time] 799 ms
[table size] (62) [real time] 817 ms
[table size] (63) [real time] 860 ms
[table size] (64) [real time] 892 ms
[table size] (65) [real time] 924 ms
[table size] (66) [real time] 950 ms
[table size] (67) [real time] 981 ms
[table size] (68) [real time] 1412 ms
[table size] (69) [real time] 1024 ms
[table size] (70) [real time] 1044 ms
[table size] (71) [real time] 1079 ms
[table size] (72) [real time] 1104 ms
[table size] (73) [real time] 1789 ms
[table size] (74) [real time] 1194 ms
[table size] (75) [real time] 1237 ms
[table size] (76) [real time] 1250 ms
[table size] (77) [real time] 1320 ms
[table size] (78) [real time] 1354 ms
[table size] (79) [real time] 1400 ms
[table size] (80) [real time] 1444 ms
[table size] (81) [real time] 1484 ms
[table size] (82) [real time] 1534 ms
[table size] (83) [real time] 1560 ms
[table size] (84) [real time] 1643 ms
[table size] (85) [real time] 1696 ms
[table size] (86) [real time] 2570 ms
[table size] (87) [real time] 2807 ms
[table size] (88) [real time] 1776 ms
[table size] (89) [real time] 1809 ms
[table size] (90) [real time] 1903 ms
[table size] (91) [real time] 1955 ms
[table size] (92) [real time] 1991 ms
[table size] (93) [real time] 2035 ms
[table size] (94) [real time] 2073 ms
[table size] (95) [real time] 2129 ms
[table size] (96) [real time] 2218 ms
[table size] (97) [real time] 2267 ms
[table size] (98) [real time] 2269 ms
[table size] (99) [real time] 2367 ms
[table size] (100) [real time] 2347 ms
[table size] (101) [real time] 2460 ms
[table size] (102) [real time] 2512 ms
[table size] (103) [real time] 2560 ms
[table size] (104) [real time] 2674 ms
[table size] (105) [real time] 2668 ms
[table size] (106) [real time] 2787 ms
[table size] (107) [real time] 4684 ms
[table size] (108) [real time] 2949 ms
[table size] (109) [real time] 4662 ms
[table size] (110) [real time] 3194 ms
[table size] (111) [real time] 3262 ms
[table size] (112) [real time] 3242 ms
[table size] (113) [real time] 3318 ms
[table size] (114) [real time] 3372 ms
[table size] (115) [real time] 3544 ms
[table size] (116) [real time] 3502 ms
[table size] (117) [real time] 3570 ms
[table size] (118) [real time] 3813 ms
[table size] (119) [real time] 3672 ms
[table size] (120) [real time] 3820 ms
[table size] (121) [real time] 3972 ms
[table size] (122) [real time] 4066 ms
[table size] (123) [real time] 7146 ms
[table size] (124) [real time] 4091 ms
[table size] (125) [real time] 4270 ms
[table size] (126) [real time] 4290 ms
[table size] (127) [real time] 4375 ms
[table size] (128) [real time] 4421 ms
[table size] (129) [real time] 4492 ms
[table size] (130) [real time] 4658 ms
[table size] (131) [real time] 4622 ms
[table size] (132) [real time] 4842 ms
[table size] (133) [real time] 4786 ms
[table size] (134) [real time] 4959 ms
[table size] (135) [real time] 5040 ms
[table size] (136) [real time] 5131 ms
[table size] (137) [real time] 5217 ms
[table size] (138) [real time] 9059 ms
[table size] (139) [real time] 5679 ms
[table size] (140) [real time] 6160 ms
[table size] (141) [real time] 10653 ms
[table size] (142) [real time] 6319 ms
[table size] (143) [real time] 6408 ms
[table size] (144) [real time] 6492 ms
[table size] (145) [real time] 6594 ms
[table size] (146) [real time] 6650 ms
[table size] (147) [real time] 6779 ms
