[[config]] symbreak:#t, simplify-constr:#t, qex-encoding:#t
[inference time] 4
[constraint]
dept,
ForallEQ[(r[1] = @0) ∧ (r[0] = 10)]

[query size] 3 2
[query aggr] #f #f
--------------------
[table size] (1) [real time] 24 ms
[table size] (2) [real time] 18 ms
[table size] (3) [real time] 15 ms
[table size] (4) [real time] 19 ms
[table size] (5) [real time] 49 ms
[table size] (6) [real time] 20 ms
[table size] (7) [real time] 20 ms
[table size] (8) [real time] 28 ms
[table size] (9) [real time] 32 ms
[table size] (10) [real time] 35 ms
[table size] (11) [real time] 106 ms
[table size] (12) [real time] 44 ms
[table size] (13) [real time] 46 ms
[table size] (14) [real time] 59 ms
[table size] (15) [real time] 63 ms
[table size] (16) [real time] 72 ms
[table size] (17) [real time] 78 ms
[table size] (18) [real time] 88 ms
[table size] (19) [real time] 92 ms
[table size] (20) [real time] 102 ms
[table size] (21) [real time] 105 ms
[table size] (22) [real time] 115 ms
[table size] (23) [real time] 125 ms
[table size] (24) [real time] 141 ms
[table size] (25) [real time] 146 ms
[table size] (26) [real time] 174 ms
[table size] (27) [real time] 161 ms
[table size] (28) [real time] 187 ms
[table size] (29) [real time] 191 ms
[table size] (30) [real time] 200 ms
[table size] (31) [real time] 225 ms
[table size] (32) [real time] 238 ms
[table size] (33) [real time] 273 ms
[table size] (34) [real time] 256 ms
[table size] (35) [real time] 265 ms
[table size] (36) [real time] 286 ms
[table size] (37) [real time] 306 ms
[table size] (38) [real time] 318 ms
[table size] (39) [real time] 340 ms
[table size] (40) [real time] 369 ms
[table size] (41) [real time] 392 ms
[table size] (42) [real time] 659 ms
[table size] (43) [real time] 402 ms
[table size] (44) [real time] 426 ms
[table size] (45) [real time] 444 ms
[table size] (46) [real time] 466 ms
[table size] (47) [real time] 490 ms
[table size] (48) [real time] 503 ms
[table size] (49) [real time] 541 ms
[table size] (50) [real time] 559 ms
[table size] (51) [real time] 584 ms
[table size] (52) [real time] 617 ms
[table size] (53) [real time] 798 ms
[table size] (54) [real time] 643 ms
[table size] (55) [real time] 688 ms
[table size] (56) [real time] 695 ms
[table size] (57) [real time] 728 ms
[table size] (58) [real time] 745 ms
[table size] (59) [real time] 1143 ms
[table size] (60) [real time] 821 ms
[table size] (61) [real time] 845 ms
[table size] (62) [real time] 877 ms
[table size] (63) [real time] 911 ms
[table size] (64) [real time] 948 ms
[table size] (65) [real time] 983 ms
[table size] (66) [real time] 1005 ms
[table size] (67) [real time] 1059 ms
[table size] (68) [real time] 1435 ms
[table size] (69) [real time] 1100 ms
[table size] (70) [real time] 1107 ms
[table size] (71) [real time] 1159 ms
[table size] (72) [real time] 1191 ms
[table size] (73) [real time] 1834 ms
[table size] (74) [real time] 1274 ms
[table size] (75) [real time] 1310 ms
[table size] (76) [real time] 1349 ms
[table size] (77) [real time] 1401 ms
[table size] (78) [real time] 1453 ms
[table size] (79) [real time] 1514 ms
[table size] (80) [real time] 1531 ms
[table size] (81) [real time] 1570 ms
[table size] (82) [real time] 1612 ms
[table size] (83) [real time] 1647 ms
[table size] (84) [real time] 1730 ms
[table size] (85) [real time] 1784 ms
[table size] (86) [real time] 3605 ms
[table size] (87) [real time] 1873 ms
[table size] (88) [real time] 1919 ms
[table size] (89) [real time] 1951 ms
[table size] (90) [real time] 2011 ms
[table size] (91) [real time] 2117 ms
[table size] (92) [real time] 2111 ms
[table size] (93) [real time] 2152 ms
[table size] (94) [real time] 2248 ms
[table size] (95) [real time] 2289 ms
[table size] (96) [real time] 2342 ms
[table size] (97) [real time] 2382 ms
[table size] (98) [real time] 2429 ms
[table size] (99) [real time] 2480 ms
[table size] (100) [real time] 2489 ms
[table size] (101) [real time] 2592 ms
[table size] (102) [real time] 2697 ms
[table size] (103) [real time] 2762 ms
[table size] (104) [real time] 2823 ms
[table size] (105) [real time] 2765 ms
[table size] (106) [real time] 2922 ms
[table size] (107) [real time] 4764 ms
[table size] (108) [real time] 3034 ms
[table size] (109) [real time] 4839 ms
[table size] (110) [real time] 3349 ms
[table size] (111) [real time] 3421 ms
[table size] (112) [real time] 3486 ms
[table size] (113) [real time] 3549 ms
[table size] (114) [real time] 3641 ms
[table size] (115) [real time] 3795 ms
[table size] (116) [real time] 3839 ms
[table size] (117) [real time] 3791 ms
[table size] (118) [real time] 4003 ms
[table size] (119) [real time] 4061 ms
[table size] (120) [real time] 4000 ms
[table size] (121) [real time] 4036 ms
[table size] (122) [real time] 7059 ms
[table size] (123) [real time] 4409 ms
[table size] (124) [real time] 4374 ms
[table size] (125) [real time] 4503 ms
[table size] (126) [real time] 4456 ms
[table size] (127) [real time] 4526 ms
[table size] (128) [real time] 4617 ms
[table size] (129) [real time] 4660 ms
[table size] (130) [real time] 4742 ms
[table size] (131) [real time] 4946 ms
[table size] (132) [real time] 5107 ms
[table size] (133) [real time] 5101 ms
[table size] (134) [real time] 5179 ms
[table size] (135) [real time] 5243 ms
[table size] (136) [real time] 5344 ms
[table size] (137) [real time] 5460 ms
[table size] (138) [real time] 9229 ms
[table size] (139) [real time] 11012 ms
[table size] (140) [real time] 6434 ms
[table size] (141) [real time] 6512 ms
[table size] (142) [real time] 6615 ms
[table size] (143) [real time] 6673 ms
[table size] (144) [real time] 6748 ms
[table size] (145) [real time] 6878 ms
