[[config]] symbreak:#t, simplify-constr:#t, qex-encoding:#f
[inference time] 3
[constraint]
dept,
ForallEQ[(r[1] = @0) ∧ (r[0] = 10)]

[query size] 3 2
[query aggr] #f #f
--------------------
[table size] (1) [real time] 24 ms
[table size] (2) [real time] 21 ms
[table size] (3) [real time] 15 ms
[table size] (4) [real time] 19 ms
[table size] (5) [real time] 51 ms
[table size] (6) [real time] 20 ms
[table size] (7) [real time] 24 ms
[table size] (8) [real time] 31 ms
[table size] (9) [real time] 34 ms
[table size] (10) [real time] 33 ms
[table size] (11) [real time] 108 ms
[table size] (12) [real time] 46 ms
[table size] (13) [real time] 54 ms
[table size] (14) [real time] 60 ms
[table size] (15) [real time] 68 ms
[table size] (16) [real time] 74 ms
[table size] (17) [real time] 81 ms
[table size] (18) [real time] 96 ms
[table size] (19) [real time] 104 ms
[table size] (20) [real time] 113 ms
[table size] (21) [real time] 114 ms
[table size] (22) [real time] 130 ms
[table size] (23) [real time] 135 ms
[table size] (24) [real time] 152 ms
[table size] (25) [real time] 188 ms
[table size] (26) [real time] 167 ms
[table size] (27) [real time] 180 ms
[table size] (28) [real time] 202 ms
[table size] (29) [real time] 203 ms
[table size] (30) [real time] 227 ms
[table size] (31) [real time] 237 ms
[table size] (32) [real time] 260 ms
[table size] (33) [real time] 299 ms
[table size] (34) [real time] 278 ms
[table size] (35) [real time] 303 ms
[table size] (36) [real time] 321 ms
[table size] (37) [real time] 333 ms
[table size] (38) [real time] 355 ms
[table size] (39) [real time] 370 ms
[table size] (40) [real time] 397 ms
[table size] (41) [real time] 586 ms
[table size] (42) [real time] 505 ms
[table size] (43) [real time] 440 ms
[table size] (44) [real time] 472 ms
[table size] (45) [real time] 488 ms
[table size] (46) [real time] 514 ms
[table size] (47) [real time] 529 ms
[table size] (48) [real time] 560 ms
[table size] (49) [real time] 584 ms
[table size] (50) [real time] 623 ms
[table size] (51) [real time] 650 ms
[table size] (52) [real time] 691 ms
[table size] (53) [real time] 883 ms
[table size] (54) [real time] 1027 ms
[table size] (55) [real time] 734 ms
[table size] (56) [real time] 762 ms
[table size] (57) [real time] 803 ms
[table size] (58) [real time] 807 ms
[table size] (59) [real time] 859 ms
[table size] (60) [real time] 887 ms
[table size] (61) [real time] 918 ms
[table size] (62) [real time] 947 ms
[table size] (63) [real time] 984 ms
[table size] (64) [real time] 1016 ms
[table size] (65) [real time] 1054 ms
[table size] (66) [real time] 1110 ms
[table size] (67) [real time] 2063 ms
[table size] (68) [real time] 1152 ms
[table size] (69) [real time] 1220 ms
[table size] (70) [real time] 1254 ms
[table size] (71) [real time] 1275 ms
[table size] (72) [real time] 1348 ms
[table size] (73) [real time] 1369 ms
[table size] (74) [real time] 1399 ms
[table size] (75) [real time] 1484 ms
[table size] (76) [real time] 1505 ms
[table size] (77) [real time] 1536 ms
[table size] (78) [real time] 1615 ms
[table size] (79) [real time] 1621 ms
[table size] (80) [real time] 1664 ms
[table size] (81) [real time] 1706 ms
[table size] (82) [real time] 1790 ms
[table size] (83) [real time] 2737 ms
[table size] (84) [real time] 1905 ms
[table size] (85) [real time] 1965 ms
[table size] (86) [real time] 2747 ms
[table size] (87) [real time] 2045 ms
[table size] (88) [real time] 2086 ms
[table size] (89) [real time] 2190 ms
[table size] (90) [real time] 2195 ms
[table size] (91) [real time] 2257 ms
[table size] (92) [real time] 2305 ms
[table size] (93) [real time] 2353 ms
[table size] (94) [real time] 2387 ms
[table size] (95) [real time] 2499 ms
[table size] (96) [real time] 2551 ms
[table size] (97) [real time] 2621 ms
[table size] (98) [real time] 4059 ms
[table size] (99) [real time] 2761 ms
[table size] (100) [real time] 2816 ms
[table size] (101) [real time] 2868 ms
[table size] (102) [real time] 2988 ms
[table size] (103) [real time] 3012 ms
[table size] (104) [real time] 3121 ms
[table size] (105) [real time] 3147 ms
[table size] (106) [real time] 3271 ms
[table size] (107) [real time] 3328 ms
[table size] (108) [real time] 3397 ms
[table size] (109) [real time] 5154 ms
[table size] (110) [real time] 3546 ms
[table size] (111) [real time] 6017 ms
[table size] (112) [real time] 3782 ms
[table size] (113) [real time] 3936 ms
[table size] (114) [real time] 4006 ms
[table size] (115) [real time] 3978 ms
[table size] (116) [real time] 4040 ms
[table size] (117) [real time] 4145 ms
[table size] (118) [real time] 4309 ms
[table size] (119) [real time] 4481 ms
[table size] (120) [real time] 4381 ms
[table size] (121) [real time] 4479 ms
[table size] (122) [real time] 4579 ms
[table size] (123) [real time] 4743 ms
[table size] (124) [real time] 4814 ms
[table size] (125) [real time] 4917 ms
[table size] (126) [real time] 4867 ms
[table size] (127) [real time] 4921 ms
[table size] (128) [real time] 5099 ms
[table size] (129) [real time] 5204 ms
[table size] (130) [real time] 5281 ms
[table size] (131) [real time] 5408 ms
[table size] (132) [real time] 5400 ms
[table size] (133) [real time] 9153 ms
[table size] (134) [real time] 5734 ms
[table size] (135) [real time] 5707 ms
[table size] (136) [real time] 5806 ms
[table size] (137) [real time] 5888 ms
[table size] (138) [real time] 9762 ms
[table size] (139) [real time] 6569 ms
[table size] (140) [real time] 6831 ms
[table size] (141) [real time] 7026 ms
