[[symbreak]] #t
[inference time] 4
[constraint]
dept,
ForallEQ[(r[1] = @0) ∧ (r[0] = 10)]

--------------------
[table size] (1) [real time] 24 ms
[table size] (2) [real time] 14 ms
[table size] (3) [real time] 13 ms
[table size] (4) [real time] 28 ms
[table size] (5) [real time] 17 ms
[table size] (6) [real time] 21 ms
[table size] (7) [real time] 23 ms
[table size] (8) [real time] 24 ms
[table size] (9) [real time] 28 ms
[table size] (10) [real time] 33 ms
[table size] (11) [real time] 36 ms
[table size] (12) [real time] 36 ms
[table size] (13) [real time] 44 ms
[table size] (14) [real time] 48 ms
[table size] (15) [real time] 53 ms
[table size] (16) [real time] 54 ms
[table size] (17) [real time] 70 ms
[table size] (18) [real time] 65 ms
[table size] (19) [real time] 72 ms
[table size] (20) [real time] 85 ms
[table size] (21) [real time] 101 ms
[table size] (22) [real time] 91 ms
[table size] (23) [real time] 100 ms
[table size] (24) [real time] 113 ms
[table size] (25) [real time] 124 ms
[table size] (26) [real time] 128 ms
[table size] (27) [real time] 156 ms
[table size] (28) [real time] 151 ms
[table size] (29) [real time] 152 ms
[table size] (30) [real time] 162 ms
[table size] (31) [real time] 270 ms
[table size] (32) [real time] 190 ms
[table size] (33) [real time] 205 ms
[table size] (34) [real time] 255 ms
[table size] (35) [real time] 214 ms
[table size] (36) [real time] 240 ms
[table size] (37) [real time] 243 ms
[table size] (38) [real time] 264 ms
[table size] (39) [real time] 275 ms
[table size] (40) [real time] 296 ms
[table size] (41) [real time] 316 ms
[table size] (42) [real time] 334 ms
[table size] (43) [real time] 432 ms
[table size] (44) [real time] 337 ms
[table size] (45) [real time] 359 ms
[table size] (46) [real time] 371 ms
[table size] (47) [real time] 394 ms
[table size] (48) [real time] 414 ms
[table size] (49) [real time] 427 ms
[table size] (50) [real time] 455 ms
[table size] (51) [real time] 477 ms
[table size] (52) [real time] 503 ms
[table size] (53) [real time] 791 ms
[table size] (54) [real time] 557 ms
[table size] (55) [real time] 738 ms
[table size] (56) [real time] 563 ms
[table size] (57) [real time] 582 ms
[table size] (58) [real time] 616 ms
[table size] (59) [real time] 643 ms
[table size] (60) [real time] 663 ms
[table size] (61) [real time] 689 ms
[table size] (62) [real time] 695 ms
[table size] (63) [real time] 733 ms
[table size] (64) [real time] 776 ms
[table size] (65) [real time] 789 ms
[table size] (66) [real time] 821 ms
[table size] (67) [real time] 859 ms
[table size] (68) [real time] 893 ms
[table size] (69) [real time] 1886 ms
[table size] (70) [real time] 908 ms
[table size] (71) [real time] 960 ms
[table size] (72) [real time] 1000 ms
[table size] (73) [real time] 1030 ms
[table size] (74) [real time] 1056 ms
[table size] (75) [real time] 1083 ms
[table size] (76) [real time] 1123 ms
[table size] (77) [real time] 1149 ms
[table size] (78) [real time] 1178 ms
[table size] (79) [real time] 1239 ms
[table size] (80) [real time] 1279 ms
[table size] (81) [real time] 1281 ms
[table size] (82) [real time] 1325 ms
[table size] (83) [real time] 1379 ms
[table size] (84) [real time] 1418 ms
[table size] (85) [real time] 1470 ms
[table size] (86) [real time] 1509 ms
[table size] (87) [real time] 1551 ms
[table size] (88) [real time] 3369 ms
[table size] (89) [real time] 1619 ms
[table size] (90) [real time] 1656 ms
[table size] (91) [real time] 1694 ms
[table size] (92) [real time] 1733 ms
[table size] (93) [real time] 1826 ms
[table size] (94) [real time] 1809 ms
[table size] (95) [real time] 1856 ms
[table size] (96) [real time] 1884 ms
[table size] (97) [real time] 1981 ms
[table size] (98) [real time] 2029 ms
[table size] (99) [real time] 2079 ms
[table size] (100) [real time] 2108 ms
[table size] (101) [real time] 2162 ms
[table size] (102) [real time] 2208 ms
[table size] (103) [real time] 2203 ms
[table size] (104) [real time] 2300 ms
[table size] (105) [real time] 2352 ms
[table size] (106) [real time] 2337 ms
[table size] (107) [real time] 2511 ms
[table size] (108) [real time] 2561 ms
[table size] (109) [real time] 2606 ms
[table size] (110) [real time] 2677 ms
[table size] (111) [real time] 6620 ms
[table size] (112) [real time] 2920 ms
[table size] (113) [real time] 2866 ms
[table size] (114) [real time] 3020 ms
[table size] (115) [real time] 3168 ms
[table size] (116) [real time] 3228 ms
[table size] (117) [real time] 3170 ms
[table size] (118) [real time] 3228 ms
[table size] (119) [real time] 3387 ms
[table size] (120) [real time] 3332 ms
[table size] (121) [real time] 3399 ms
[table size] (122) [real time] 3557 ms
[table size] (123) [real time] 3619 ms
[table size] (124) [real time] 3664 ms
[table size] (125) [real time] 3730 ms
[table size] (126) [real time] 3895 ms
[table size] (127) [real time] 3828 ms
[table size] (128) [real time] 3987 ms
[table size] (129) [real time] 4056 ms
[table size] (130) [real time] 3999 ms
[table size] (131) [real time] 4163 ms
[table size] (132) [real time] 4319 ms
[table size] (133) [real time] 4301 ms
[table size] (134) [real time] 4324 ms
[table size] (135) [real time] 4400 ms
[table size] (136) [real time] 4480 ms
[table size] (137) [real time] 8691 ms
[table size] (138) [real time] 4669 ms
[table size] (139) [real time] 8725 ms
[table size] (140) [real time] 5544 ms
[table size] (141) [real time] 5617 ms
[table size] (142) [real time] 5478 ms
[table size] (143) [real time] 5757 ms
[table size] (144) [real time] 5881 ms
[table size] (145) [real time] 5951 ms
[table size] (146) [real time] 6004 ms
[table size] (147) [real time] 6304 ms
[table size] (148) [real time] 6173 ms
[table size] (149) [real time] 6479 ms
[table size] (150) [real time] 6564 ms
[table size] (151) [real time] 6630 ms
[table size] (152) [real time] 6746 ms
{"size":[1],"status":"UNSAT"}
