[[symbreak]] #t
[inference time] 5
[constraint]
dept,
ForallEQ[(r[1] = @0) ∧ (r[1] = 10)]

--------------------
[table size] (1) [real time] 31 ms
[table size] (2) [real time] 39 ms
[table size] (3) [real time] 40 ms
[table size] (4) [real time] 62 ms
[table size] (5) [real time] 106 ms
[table size] (6) [real time] 182 ms
[table size] (7) [real time] 282 ms
[table size] (8) [real time] 469 ms
[table size] (9) [real time] 731 ms
[table size] (10) [real time] 1233 ms
[table size] (11) [real time] 1507 ms
[table size] (12) [real time] 2208 ms
[table size] (13) [real time] 2823 ms
[table size] (14) [real time] 4352 ms
[table size] (15) [real time] 5149 ms
[table size] (16) [real time] 8125 ms
[table size] (17) [real time] 9296 ms
[table size] (18) [real time] 15102 ms
[table size] (19) [real time] 17146 ms
[table size] (20) [real time] 27662 ms
[table size] (21) [real time] 32728 ms
[table size] (22) [real time] 40872 ms
[table size] (23) [real time] 70840 ms
{"size":[1],"status":"UNSAT"}
