[[symbreak]] #f
[inference time] 3
[constraint]
dept,
ForallEQ[(r[1] = @0) ∧ (r[0] = 10)]

--------------------
[table size] (1) [real time] 26 ms
[table size] (2) [real time] 16 ms
[table size] (3) [real time] 12 ms
[table size] (4) [real time] 28 ms
[table size] (5) [real time] 16 ms
[table size] (6) [real time] 16 ms
[table size] (7) [real time] 20 ms
[table size] (8) [real time] 21 ms
[table size] (9) [real time] 24 ms
[table size] (10) [real time] 27 ms
[table size] (11) [real time] 31 ms
[table size] (12) [real time] 31 ms
[table size] (13) [real time] 39 ms
[table size] (14) [real time] 38 ms
[table size] (15) [real time] 39 ms
[table size] (16) [real time] 44 ms
[table size] (17) [real time] 54 ms
[table size] (18) [real time] 50 ms
[table size] (19) [real time] 54 ms
[table size] (20) [real time] 66 ms
[table size] (21) [real time] 66 ms
[table size] (22) [real time] 75 ms
[table size] (23) [real time] 79 ms
[table size] (24) [real time] 77 ms
[table size] (25) [real time] 92 ms
[table size] (26) [real time] 100 ms
[table size] (27) [real time] 105 ms
[table size] (28) [real time] 128 ms
[table size] (29) [real time] 114 ms
[table size] (30) [real time] 123 ms
[table size] (31) [real time] 125 ms
[table size] (32) [real time] 143 ms
[table size] (33) [real time] 153 ms
[table size] (34) [real time] 165 ms
[table size] (35) [real time] 292 ms
[table size] (36) [real time] 177 ms
[table size] (37) [real time] 182 ms
[table size] (38) [real time] 193 ms
[table size] (39) [real time] 204 ms
[table size] (40) [real time] 225 ms
[table size] (41) [real time] 229 ms
[table size] (42) [real time] 250 ms
[table size] (43) [real time] 266 ms
[table size] (44) [real time] 362 ms
[table size] (45) [real time] 279 ms
[table size] (46) [real time] 287 ms
[table size] (47) [real time] 292 ms
[table size] (48) [real time] 311 ms
[table size] (49) [real time] 328 ms
[table size] (50) [real time] 352 ms
[table size] (51) [real time] 364 ms
[table size] (52) [real time] 377 ms
[table size] (53) [real time] 406 ms
[table size] (54) [real time] 431 ms
[table size] (55) [real time] 444 ms
[table size] (56) [real time] 911 ms
[table size] (57) [real time] 452 ms
[table size] (58) [real time] 467 ms
[table size] (59) [real time] 484 ms
[table size] (60) [real time] 506 ms
[table size] (61) [real time] 526 ms
[table size] (62) [real time] 539 ms
[table size] (63) [real time] 574 ms
[table size] (64) [real time] 579 ms
[table size] (65) [real time] 622 ms
[table size] (66) [real time] 624 ms
[table size] (67) [real time] 669 ms
[table size] (68) [real time] 693 ms
[table size] (69) [real time] 743 ms
[table size] (70) [real time] 1150 ms
[table size] (71) [real time] 730 ms
[table size] (72) [real time] 760 ms
[table size] (73) [real time] 806 ms
[table size] (74) [real time] 827 ms
[table size] (75) [real time] 801 ms
[table size] (76) [real time] 1560 ms
[table size] (77) [real time] 907 ms
[table size] (78) [real time] 934 ms
[table size] (79) [real time] 933 ms
[table size] (80) [real time] 991 ms
[table size] (81) [real time] 1012 ms
[table size] (82) [real time] 1049 ms
[table size] (83) [real time] 1078 ms
[table size] (84) [real time] 1113 ms
[table size] (85) [real time] 1140 ms
[table size] (86) [real time] 1182 ms
[table size] (87) [real time] 1219 ms
[table size] (88) [real time] 2169 ms
[table size] (89) [real time] 1307 ms
[table size] (90) [real time] 1337 ms
